9011,9012,9013
"120.0(R1,C1)","100.0(R1,C2)","-100.0(R1,C3)","-100.0(R1,C4)","-100.0(R1,C5)","-100.0(R1,C6)","-100.0(R1,C7)","100.0(R1,C8)","100.0(R1,C9)","100.0(R1,C10)","-100.0(R1,C11)","100.0(R1,C12)","100.0(R1,C13)","100.0(R1,C14)","100.0(R1,C15)","100.0(R1,C16)","100.0(R1,C17)","-100.0(R1,C18)","-100.0(R1,C19)","-100.0(R1,C20)","-100.0(R1,C21)","-100.0(R1,C22)","-100.0(R1,C23)","-100.0(R1,C24)","-100.0(R1,C25)","-100.0(R1,C26)","-100.0(R1,C27)","-100.0(R1,C28)","-100.0(R1,C29)","-100.0(R1,C30)","-100.0(R1,C31)","-100.0(R1,C32)","-100.0(R1,C33)","-100.0(R1,C34)","-100.0(R1,C35)","-100.0(R1,C36)","-100.0(R1,C37)","-100.0(R1,C38)","-100.0(R1,C39)","-100.0(R1,C40)","-100.0(R1,C41)","-100.0(R1,C42)","-100.0(R1,C43)","-100.0(R1,C44)","-100.0(R1,C45)","-100.0(R1,C46)"
"-0.1(R2,C1)","-0.12(R2,C2)","0.1(R2,C3)","0.1(R2,C4)","0.1(R2,C5)","0.1(R2,C6)","0.1(R2,C7)","-0.1(R2,C8)","-0.1(R2,C9)","-0.1(R2,C10)","0.1(R2,C11)","-0.1(R2,C12)","-0.1(R2,C13)","-0.1(R2,C14)","-0.1(R2,C15)","-0.1(R2,C16)","-0.1(R2,C17)","0.1(R2,C18)","0.1(R2,C19)","0.1(R2,C20)","0.1(R2,C21)","0.1(R2,C22)","0.1(R2,C23)","0.1(R2,C24)","0.1(R2,C25)","0.1(R2,C26)","0.1(R2,C27)","0.1(R2,C28)","0.1(R2,C29)","0.1(R2,C30)","0.1(R2,C31)","0.1(R2,C32)","0.1(R2,C33)","0.1(R2,C34)","0.1(R2,C35)","0.1(R2,C36)","0.1(R2,C37)","0.1(R2,C38)","0.1(R2,C39)","0.1(R2,C40)","0.1(R2,C41)","0.1(R2,C42)","0.1(R2,C43)","0.1(R2,C44)","0.1(R2,C45)","0.1(R2,C46)"
"0.1(R3,C1)","-0.1(R3,C2)","0.1(R3,C3)","0.1(R3,C4)","0.1(R3,C5)","0.1(R3,C6)","0.1(R3,C7)","0.1(R3,C8)","0.1(R3,C9)","0.1(R3,C10)","0.1(R3,C11)","0.1(R3,C12)","0.1(R3,C13)","0.1(R3,C14)","0.1(R3,C15)","0.1(R3,C16)","0.1(R3,C17)","0.1(R3,C18)","0.1(R3,C19)","0.1(R3,C20)","0.1(R3,C21)","0.1(R3,C22)","0.1(R3,C23)","0.1(R3,C24)","0.1(R3,C25)","0.1(R3,C26)","0.1(R3,C27)","0.1(R3,C28)","0.1(R3,C29)","0.1(R3,C30)","0.1(R3,C31)","0.1(R3,C32)","0.1(R3,C33)","0.1(R3,C34)","0.1(R3,C35)","0.1(R3,C36)","0.1(R3,C37)","0.1(R3,C38)","0.1(R3,C39)","0.1(R3,C40)","0.1(R3,C41)","0.1(R3,C42)","0.1(R3,C43)","0.1(R3,C44)","0.1(R3,C45)","0.1(R3,C46)"
"-0.1(R4,C1)","-0.1(R4,C2)","0.1(R4,C3)","0.1(R4,C4)","0.1(R4,C5)","0.1(R4,C6)","0.1(R4,C7)","-0.1(R4,C8)","-0.1(R4,C9)","-0.1(R4,C10)","0.1(R4,C11)","-0.1(R4,C12)","-0.1(R4,C13)","-0.1(R4,C14)","-0.1(R4,C15)","0.1(R4,C16)","-0.09(R4,C17)","0.1(R4,C18)","0.1(R4,C19)","0.1(R4,C20)","0.1(R4,C21)","0.1(R4,C22)","0.1(R4,C23)","0.1(R4,C24)","0.1(R4,C25)","0.1(R4,C26)","0.1(R4,C27)","0.1(R4,C28)","0.1(R4,C29)","0.1(R4,C30)","0.1(R4,C31)","0.1(R4,C32)","0.1(R4,C33)","0.1(R4,C34)","0.1(R4,C35)","0.1(R4,C36)","0.1(R4,C37)","0.1(R4,C38)","0.1(R4,C39)","0.1(R4,C40)","0.1(R4,C41)","0.1(R4,C42)","0.1(R4,C43)","0.1(R4,C44)","0.1(R4,C45)","0.1(R4,C46)"
"-0.1(R5,C1)","-0.1(R5,C2)","0.1(R5,C3)","0.1(R5,C4)","0.1(R5,C5)","0.1(R5,C6)","0.1(R5,C7)","-0.1(R5,C8)","-0.1(R5,C9)","-0.1(R5,C10)","0.1(R5,C11)","-0.1(R5,C12)","-0.1(R5,C13)","-0.1(R5,C14)","-0.1(R5,C15)","0.1(R5,C16)","-0.09(R5,C17)","0.1(R5,C18)","0.1(R5,C19)","0.1(R5,C20)","0.1(R5,C21)","0.1(R5,C22)","0.1(R5,C23)","0.1(R5,C24)","0.1(R5,C25)","0.1(R5,C26)","0.1(R5,C27)","0.1(R5,C28)","0.1(R5,C29)","0.1(R5,C30)","0.1(R5,C31)","0.1(R5,C32)","0.1(R5,C33)","0.1(R5,C34)","0.1(R5,C35)","0.1(R5,C36)","0.1(R5,C37)","0.1(R5,C38)","0.1(R5,C39)","0.1(R5,C40)","0.1(R5,C41)","0.1(R5,C42)","0.1(R5,C43)","0.1(R5,C44)","0.1(R5,C45)","0.1(R5,C46)"
"0.1(R6,C1)","0.1(R6,C2)","0.1(R6,C3)","0.1(R6,C4)","0.1(R6,C5)","0.1(R6,C6)","0.1(R6,C7)","-0.1(R6,C8)","-0.1(R6,C9)","-0.1(R6,C10)","0.1(R6,C11)","-0.1(R6,C12)","0.1(R6,C13)","0.1(R6,C14)","0.1(R6,C15)","-0.1(R6,C16)","-0.12(R6,C17)","0.1(R6,C18)","0.1(R6,C19)","0.1(R6,C20)","0.1(R6,C21)","0.1(R6,C22)","0.1(R6,C23)","0.1(R6,C24)","0.1(R6,C25)","0.1(R6,C26)","0.1(R6,C27)","0.1(R6,C28)","0.1(R6,C29)","0.1(R6,C30)","0.1(R6,C31)","0.1(R6,C32)","0.1(R6,C33)","0.1(R6,C34)","0.1(R6,C35)","0.1(R6,C36)","0.1(R6,C37)","0.1(R6,C38)","0.1(R6,C39)","0.1(R6,C40)","0.1(R6,C41)","0.1(R6,C42)","0.1(R6,C43)","0.1(R6,C44)","0.1(R6,C45)","0.1(R6,C46)"
"-0.12(R7,C1)","-0.12(R7,C2)","0.1(R7,C3)","0.1(R7,C4)","0.1(R7,C5)","0.1(R7,C6)","0.1(R7,C7)","-0.09(R7,C8)","-0.09(R7,C9)","-0.09(R7,C10)","0.1(R7,C11)","-0.1(R7,C12)","-0.09(R7,C13)","-0.09(R7,C14)","-0.09(R7,C15)","0.1(R7,C16)","-0.09(R7,C17)","0.1(R7,C18)","0.1(R7,C19)","0.1(R7,C20)","0.1(R7,C21)","0.1(R7,C22)","0.1(R7,C23)","0.1(R7,C24)","0.1(R7,C25)","0.1(R7,C26)","0.1(R7,C27)","0.1(R7,C28)","0.1(R7,C29)","0.1(R7,C30)","0.1(R7,C31)","0.1(R7,C32)","0.1(R7,C33)","0.1(R7,C34)","0.1(R7,C35)","0.1(R7,C36)","0.1(R7,C37)","0.1(R7,C38)","0.1(R7,C39)","0.1(R7,C40)","0.1(R7,C41)","0.1(R7,C42)","0.1(R7,C43)","0.1(R7,C44)","0.1(R7,C45)","0.1(R7,C46)"
"100.0(R8,C1)","100.0(R8,C2)","-100.0(R8,C3)","-100.0(R8,C4)","-100.0(R8,C5)","-100.0(R8,C6)","-100.0(R8,C7)","100.0(R8,C8)","100.0(R8,C9)","100.0(R8,C10)","-100.0(R8,C11)","100.0(R8,C12)","100.0(R8,C13)","100.0(R8,C14)","100.0(R8,C15)","100.0(R8,C16)","100.0(R8,C17)","100.0(R8,C18)","-100.0(R8,C19)","-100.0(R8,C20)","-100.0(R8,C21)","-100.0(R8,C22)","-100.0(R8,C23)","-100.0(R8,C24)","-100.0(R8,C25)","-100.0(R8,C26)","-100.0(R8,C27)","-100.0(R8,C28)","-100.0(R8,C29)","-100.0(R8,C30)","100.0(R8,C31)","-100.0(R8,C32)","-100.0(R8,C33)","-100.0(R8,C34)","-100.0(R8,C35)","-100.0(R8,C36)","-100.0(R8,C37)","-100.0(R8,C38)","-100.0(R8,C39)","-100.0(R8,C40)","-100.0(R8,C41)","-100.0(R8,C42)","-100.0(R8,C43)","-100.0(R8,C44)","-100.0(R8,C45)","-100.0(R8,C46)"
"-0.1(R9,C1)","-0.1(R9,C2)","0.1(R9,C3)","0.1(R9,C4)","0.1(R9,C5)","0.1(R9,C6)","0.1(R9,C7)","-0.1(R9,C8)","-0.1(R9,C9)","-0.1(R9,C10)","0.1(R9,C11)","-0.1(R9,C12)","-0.1(R9,C13)","-0.1(R9,C14)","-0.1(R9,C15)","-0.1(R9,C16)","-0.1(R9,C17)","-0.1(R9,C18)","0.1(R9,C19)","0.1(R9,C20)","0.1(R9,C21)","0.1(R9,C22)","0.1(R9,C23)","0.1(R9,C24)","0.1(R9,C25)","0.1(R9,C26)","0.1(R9,C27)","0.1(R9,C28)","0.1(R9,C29)","0.1(R9,C30)","-0.1(R9,C31)","0.1(R9,C32)","0.1(R9,C33)","0.1(R9,C34)","0.1(R9,C35)","0.1(R9,C36)","0.1(R9,C37)","0.1(R9,C38)","0.1(R9,C39)","0.1(R9,C40)","0.1(R9,C41)","0.1(R9,C42)","0.1(R9,C43)","0.1(R9,C44)","0.1(R9,C45)","0.1(R9,C46)"
"-100.0(R10,C1)","-100.0(R10,C2)","-100.0(R10,C3)","-100.0(R10,C4)","-100.0(R10,C5)","-100.0(R10,C6)","-100.0(R10,C7)","-100.0(R10,C8)","-100.0(R10,C9)","-100.0(R10,C10)","-100.0(R10,C11)","-100.0(R10,C12)","-100.0(R10,C13)","-100.0(R10,C14)","-100.0(R10,C15)","-100.0(R10,C16)","-100.0(R10,C17)","-100.0(R10,C18)","-100.0(R10,C19)","-100.0(R10,C20)","-100.0(R10,C21)","-100.0(R10,C22)","-100.0(R10,C23)","-100.0(R10,C24)","-100.0(R10,C25)","-100.0(R10,C26)","-100.0(R10,C27)","-100.0(R10,C28)","-100.0(R10,C29)","-100.0(R10,C30)","-100.0(R10,C31)","-100.0(R10,C32)","-100.0(R10,C33)","-100.0(R10,C34)","-100.0(R10,C35)","-100.0(R10,C36)","-100.0(R10,C37)","-100.0(R10,C38)","-100.0(R10,C39)","-100.0(R10,C40)","-100.0(R10,C41)","-100.0(R10,C42)","-100.0(R10,C43)","-100.0(R10,C44)","-100.0(R10,C45)","-100.0(R10,C46)"
